24.94 Mbps,20.76 Mbps,28.08 Mbps,
48.2 Mbps,44.31 Mbps,52.65 Mbps,
25.36 Mbps,21.89 Mbps,29.61 Mbps,
24.85 Mbps,21.28 Mbps,32.52 Mbps,
30.23 Mbps,20.85 Mbps,56.03 Mbps,
29.72 Mbps,23.55 Mbps,40.73 Mbps,
24.74 Mbps,17.38 Mbps,37.91 Mbps,
27.13 Mbps,18.98 Mbps,46.67 Mbps,
54.78 Mbps,26.06 Mbps,92.97 Mbps,
48.19 Mbps,42.8 Mbps,58.13 Mbps,
48.37 Mbps,47.49 Mbps,49.85 Mbps,
47.76 Mbps,31.64 Mbps,82.06 Mbps,
48.22 Mbps,46.7 Mbps,52.79 Mbps,
25.74 Mbps,21.7 Mbps,32.15 Mbps,
24.74 Mbps,23.63 Mbps,26.13 Mbps,
24.86 Mbps,22.69 Mbps,26.08 Mbps,
26.69 Mbps,20.15 Mbps,38.76 Mbps,
24.82 Mbps,22.65 Mbps,26.93 Mbps,
24.8 Mbps,22.22 Mbps,27.29 Mbps,
24.83 Mbps,23.48 Mbps,25.9 Mbps,
24.74 Mbps,23.74 Mbps,26.43 Mbps,
24.59 Mbps,21.26 Mbps,26.42 Mbps,
24.29 Mbps,21.37 Mbps,28.17 Mbps,
24.73 Mbps,17.86 Mbps,30.32 Mbps,
24.64 Mbps,23.96 Mbps,25.5 Mbps,
48.04 Mbps,46.41 Mbps,50.52 Mbps,
51.08 Mbps,37.35 Mbps,77.54 Mbps,
24.77 Mbps,18.48 Mbps,27.2 Mbps,
24.67 Mbps,19.08 Mbps,26.28 Mbps,
24.83 Mbps,21.16 Mbps,26.08 Mbps,
25.16 Mbps,24.09 Mbps,26.93 Mbps,
25.08 Mbps,24.5 Mbps,25.6 Mbps,
24.96 Mbps,24.7 Mbps,25.27 Mbps,
26.27 Mbps,22.18 Mbps,38.56 Mbps,
47.73 Mbps,45.99 Mbps,48.51 Mbps,
51.96 Mbps,46.34 Mbps,63.57 Mbps,
32.98 Mbps,21.82 Mbps,44.62 Mbps,
29.7 Mbps,22.97 Mbps,37.15 Mbps,
24.75 Mbps,20.85 Mbps,27.17 Mbps,
24.84 Mbps,21.5 Mbps,27.01 Mbps,
24.83 Mbps,19.24 Mbps,29.23 Mbps,
24.85 Mbps,22.64 Mbps,26.83 Mbps,
35.99 Mbps,32.54 Mbps,40.28 Mbps,
37.16 Mbps,32.87 Mbps,41.4 Mbps,
24.88 Mbps,23.33 Mbps,25.74 Mbps,
24.9 Mbps,21.61 Mbps,26.92 Mbps,
33.87 Mbps,31.13 Mbps,39.65 Mbps,
37.11 Mbps,32.93 Mbps,40.48 Mbps,
37.29 Mbps,34.42 Mbps,40.4 Mbps,
34.26 Mbps,23.26 Mbps,40.23 Mbps,
37.26 Mbps,33.99 Mbps,39.91 Mbps,
37.28 Mbps,32.33 Mbps,38.61 Mbps,
24.78 Mbps,23.31 Mbps,27.02 Mbps,
24.82 Mbps,18.78 Mbps,31.59 Mbps,
26.28 Mbps,22.19 Mbps,31.31 Mbps,
24.64 Mbps,21.68 Mbps,25.9 Mbps,
24.81 Mbps,21.51 Mbps,25.67 Mbps,
24.95 Mbps,23.97 Mbps,28.15 Mbps,
24.81 Mbps,23.39 Mbps,28.52 Mbps,
24.85 Mbps,23.85 Mbps,25.72 Mbps,
24.78 Mbps,21.83 Mbps,26.96 Mbps,
24.81 Mbps,23.34 Mbps,26.22 Mbps,
24.82 Mbps,21.66 Mbps,26.4 Mbps,
24.63 Mbps,23.52 Mbps,26.03 Mbps,
